SIZE,AVERAGE,BEST,WORST
763,5878,6396,5327
818,6384,6931,5790
14,29,35,22
979,7852,8508,7147
891,7052,7640,6409
716,5403,5945,4927
163,899,1002,789
334,2183,2405,1950
697,5287,5754,4780
339,2214,2448,1965
45,163,188,140
508,3644,3931,3231
935,7510,8068,6797
578,4219,4605,3806
773,5990,6498,5428
711,5392,5894,4885
795,6185,6718,5579
252,1518,1689,1357
279,1747,1920,1565
68,297,325,245
519,3713,4036,3325
124,615,701,553
218,1315,1431,1126
531,3808,4142,3433
117,590,656,514
133,691,772,606
309,1975,2190,1752
890,7034,7631,6392
772,5966,6495,5365
889,7065,7610,6428
29,89,100,72
393,2670,2914,2344
465,3252,3540,2906
56,226,255,187
55,214,248,185
311,1983,2204,1775
569,4146,4498,3730
172,968,1075,831
398,2682,2961,2408
995,8056,8656,7307
681,5105,5598,4644
33,105,122,86
95,448,510,379
337,2193,2422,1948
290,1817,2019,1616
748,5774,6253,5191
690,5220,5689,4714
50,202,221,158
212,1257,1383,1091
854,6728,7293,6084
62,258,289,214
790,6135,6679,5554
675,5113,5540,4595
299,1930,2098,1679
319,2063,2274,1825
8,9,15,9
88,402,455,355
810,6333,6855,5696
741,5666,6184,5178
182,1045,1151,902
433,2977,3260,2672
731,5601,6086,5047
572,4158,4539,3761
551,3934,4340,3579
480,3354,3677,3019
48,192,207,147
322,2080,2295,1852
320,2078,2271,1845
839,6623,7138,5975
939,7515,8114,6833
432,2983,3253,2667
511,3629,3946,3269
989,8018,8602,7334
447,3111,3394,2789
575,4196,4574,3771
803,6241,6784,5667
614,4529,4963,4088
579,4231,4602,3815
555,3992,4376,3617
294,1854,2055,1658
971,7827,8426,7083
846,6677,7207,6048
907,7190,7800,6547
902,7151,7755,6506
240,1457,1593,1279
490,3439,3769,3106
751,5758,6292,5227
943,7552,8152,6879
118,602,665,512
668,5011,5473,4537
713,5425,5910,4920
44,156,185,137
53,209,236,180
305,1944,2140,1728
797,6180,6746,5684
213,1281,1390,1094
283,1777,1958,1581
720,5497,5985,4947
131,683,758,585
695,5287,5738,4765
521,3739,4030,3332
390,2603,2893,2354
389,2654,2888,2336
563,4060,4448,3695
709,5399,5874,4894
785,6064,6620,5506
63,263,294,225
51,200,226,167
737,5666,6146,5110
17,40,48,30
570,4148,4521,3748
454,3180,3455,2854
310,1990,2197,1782
491,3476,3776,3125
439,3026,3322,2705
966,7816,8375,7040
622,4640,5031,4178
158,846,963,758
208,1213,1347,1071
604,4451,4849,4007
862,6826,7367,6182
5,5,6,4
856,6725,7293,6109
683,5171,5620,4659
383,2610,2830,2301
31,95,110,81
820,6407,6947,5787
475,3323,3638,2997
705,5364,5838,4854
726,5514,6049,5004
663,4991,5428,4489
191,1112,1220,967
664,4971,5429,4495
619,4622,4992,4151
848,6648,7229,6043
324,2110,2315,1867
513,3681,3962,3270
345,2273,2498,2026
349,2298,2540,2054
272,1683,1857,1507
119,581,672,517
267,1638,1816,1469
637,4764,5176,4296
331,2171,2374,1915
558,4063,4411,3666
981,7885,8526,7226
76,342,377,287
983,7943,8542,7195
864,6811,7375,6167
492,3477,3791,3121
530,3814,4137,3430
251,1532,1682,1357
638,4752,5181,4308
537,3894,4188,3464
654,4881,5341,4440
842,6620,7169,5982
410,2828,3067,2512
396,2694,2947,2389
691,5254,5698,4721
771,6013,6488,5381
132,678,765,593
421,2885,3166,2590
811,6299,6864,5713
409,2773,3052,2488
991,7987,8626,7263
635,4762,5148,4267
875,6944,7488,6285
883,6991,7562,6343
116,577,649,503
589,4357,4716,3914
630,4687,5115,4224
214,1252,1399,1112
460,3210,3505,2887
963,7721,8348,7011
26,82,89,62
608,4530,4889,4049
927,7390,8000,6729
18,48,53,34
628,4639,5081,4201
978,7895,8493,7174
755,5838,6316,5259
210,1220,1367,1086
526,3781,4105,3396
909,7211,7822,6648
561,4084,4434,3670
38,131,151,106
680,5104,5589,4621
959,7735,8304,6999
429,2945,3234,2640
898,7163,7713,6494
464,3235,3537,2921
16,39,43,27
881,6953,7546,6360
70,296,341,256
431,2988,3252,2669
190,1088,1211,950
560,4082,4423,3671
148,794,889,693
216,1280,1405,1113
374,2486,2755,2250
986,7943,8575,7230
233,1398,1542,1242
195,1130,1246,987
968,7763,8391,7045
235,1411,1558,1253
501,3553,3862,3198
895,7104,7686,6455
988,7995,8587,7245
220,1291,1443,1155
269,1667,1836,1470
876,6912,7501,6269
350,2301,2549,2070
764,5926,6411,5347
456,3171,3463,2853
670,5057,5497,4560
217,1291,1416,1132
621,4618,5018,4170
52,207,229,169
878,6951,7517,6318
565,4117,4478,3724
379,2513,2798,2259
659,4970,5388,4457
894,7106,7671,6456
287,1826,1994,1607
57,236,258,192
616,4553,4959,4093
882,7008,7553,6332
382,2577,2825,2316
343,2263,2486,1995
314,2032,2231,1808
754,5811,6309,5232
121,615,676,534
910,7261,7831,6592
994,8041,8645,7320
259,1587,1750,1411
113,574,628,488
660,4976,5401,4459
735,5625,6136,5081
222,1319,1455,1160
23,58,74,51
77,347,386,294
108,533,593,459
747,5770,6242,5191
984,7938,8551,7187
920,7328,7917,6649
969,7787,8400,7102
997,8066,8676,7360
556,4029,4389,3623
769,5942,6464,5356
367,2460,2694,2181
260,1585,1755,1415
247,1493,1650,1329
784,6060,6613,5479
300,1886,2111,1695
985,7951,8556,7252
830,6527,7049,5896
860,6761,7343,6143
437,3021,3308,2696
777,5997,6522,5446
308,1969,2175,1749
661,4948,5412,4516
266,1659,1811,1454
21,60,64,44
205,1208,1328,1052
789,6134,6660,5582
397,2709,2958,2380
859,6753,7328,6143
953,7657,8242,6976
245,1493,1638,1306
81,367,414,310
444,3081,3365,2753
485,3419,3728,3066
2,1,1,0
553,3980,4342,3588
96,458,513,393
758,5871,6361,5276
478,3349,3661,3048
689,5216,5678,4726
110,558,611,470
765,5937,6420,5404
625,4657,5058,4172
198,1146,1273,996
828,6488,7029,5875
778,6011,6553,5412
211,1217,1372,1097
242,1454,1615,1282
752,5801,6289,5231
91,427,482,367
723,5535,6016,4985
987,7960,8574,7223
872,6885,7441,6205
355,2331,2582,2083
606,4484,4877,4032
171,956,1064,837
